Description,Images,Label,Prices
Sage Green Cotton Corduroy Baggy Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-734767_600x.jpg?v=1625844335,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/sage-green-cotton-corduroy-baggy-shorts-baggy-shorts-273010_600x.jpg?v=1625844335",Cotton Corduroy,"₹3,200"
Indigo Cotton Denim Paneled Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-618394_600x.jpg?v=1611240888,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/indigo-cotton-denim-paneled-shorts-paneled-shorts-298788_600x.jpg?v=1611240888",Hand Embroidered,"₹3,400"
Musturd Gold Handspun 100% Cotton Short Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/musturd-gold-100-cotton-khadi-short-shorts-short-shorts-677556_600x.jpg?v=1630997461,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/musturd-gold-100-cotton-khadi-short-shorts-short-shorts-407890_600x.jpg?v=1630997461",Handspun Handwoven,"₹2,520"
Beige Kalamkari Comfort Fit Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-kalamkari-curved-hem-shorts-curved-hem-shorts-541711_600x.jpg?v=1625847179,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-kalamkari-curved-hem-shorts-curved-hem-shorts-967022_600x.jpg?v=1625847178",Natural Dyed,"₹2,630"
Vintage Plum Handspun 100% Cotton Short Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/vintage-plum-100-cotton-khadi-short-shorts-short-shorts-315436_600x.jpg?v=1630997464,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/vintage-plum-100-cotton-khadi-short-shorts-short-shorts-924665_600x.jpg?v=1630997464",Handspun Handwoven,"₹2,520"
Blue Vegetable Dyed Straight Fit Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-990368_600x.jpg?v=1625850728,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/blue-vegetable-dyed-straight-fit-shorts-straight-shorts-966099_600x.jpg?v=1625850728",Handspun Handwoven,"₹4,020"
Dusk Beige Cotton Corduroy Baggy Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-687982_600x.jpg?v=1625992953,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/dusk-beige-cotton-corduroy-baggy-shorts-baggy-shorts-226961_600x.jpg?v=1625992953",Cotton Corduroy,"₹3,200"
Beige Dabu Print Cotton Flared Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-131156_600x.jpg?v=1625847290,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/beige-dabu-print-cotton-flared-shorts-flared-shorts-193530_600x.jpg?v=1625847290,https:https://cdn.shopify.com/s/files/1/0050/3264/0601/files/fire.png?v=1587370207",Natural Dyed,"₹3,390"
Striped Handwoven Flared Godet Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-handwoven-flared-godet-shorts-godet-shorts-546514_600x.jpg?v=1625990161,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/striped-handwoven-flared-godet-shorts-godet-shorts-538822_600x.jpg?v=1625990161",Handwoven,"₹4,180"
Mauve Cotton Corduroy Baggy Shorts,"https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-831988_600x.jpg?v=1625990578,https://cdn.shopify.com/s/files/1/0534/2501/2925/products/mauve-cotton-corduroy-baggy-shorts-baggy-shorts-701908_600x.jpg?v=1625990578",Cotton Corduroy,"₹3,200"
